Negara,Tahun,GDP_Nominal,Unemployment,FDI_Net_Inflows,Inflation
Saudi Arabia,2014,27805.48503,5.877,1509063087,2.239165906
Saudi Arabia,2015,23256.15496,5.6,3970644085,1.204693885
Saudi Arabia,2016,22267.72171,5.6,21954833890,2.067407783
Saudi Arabia,2017,23929.29071,5.89,1014062501,-0.836410332
Saudi Arabia,2018,29360.0659,6.029,12141122233,2.457198359
Saudi Arabia,2019,29566.79338,5.636,3079217251,-2.09334901
Saudi Arabia,2020,24338.83073,7.66,1621264195,3.445467064
Saudi Arabia,2021,31920.76537,6.621,28350373333,3.063289889
Saudi Arabia,2022,38510.22762,5.589,26710062133,2.474073719
Turkiye,2013,12578.18786,9.713,13563000000,7.493090305
Turkiye,2014,12165.22014,9.901,13337000000,8.854572714
Turkiye,2015,11049.99511,10.304,19263000000,7.670853648
Turkiye,2016,10970.04589,10.899,13835000000,7.775134153
Turkiye,2017,10695.5502,10.919,11190000000,11.14431108
Turkiye,2018,9568.835063,10.956,12450000000,16.3324639
Turkiye,2019,9215.440499,13.73,9507000000,15.17682157
Turkiye,2020,8638.739038,13.148,7522000000,12.27895745
Turkiye,2021,9743.212778,11.969,12674000000,19.59649269
Turkiye,2022,10674.50416,10.465,13784000000,72.30883599
Egypt,2013,3025.525636,13.154,4192200000,9.469719811
Egypt,2014,3133.391023,13.105,4612200000,10.07021547
Egypt,2015,3306.981594,13.052,6925200000,10.37049034
Egypt,2016,3270.628777,12.45,8106800000,13.81360621
Egypt,2017,2395.103333,11.767,7408700000,29.50660839
Egypt,2018,2484.703156,9.855,8141300000,14.40146578
Egypt,2019,2962.98892,7.851,9010100000,9.152799593
Egypt,2020,3511.11381,7.974,5851800000,5.04493289
Egypt,2021,3827.354154,7.441,5122300000,5.214049405
Egypt,2022,4233.307837,7.344,11399900000,13.89566098
Vietnam,2013,2359.517365,1.316,8900000000,6.592674759
Vietnam,2014,2546.384645,1.256,9200000000,4.084554466
Vietnam,2015,2577.568853,1.848,11800000000,0.631200905
Vietnam,2016,2735.060438,1.848,12600000000,2.66824817
Vietnam,2017,2956.109921,1.874,14100000000,3.520256888
Vietnam,2018,3222.310031,1.161,15500000000,3.539628059
Vietnam,2019,3440.900254,1.681,16120000000,2.795823675
Vietnam,2020,3534.039535,2.103,15800000000,3.220934367
Vietnam,2021,3704.193559,2.385,15660000000,1.834715548
Vietnam,2022,4147.697772,1.523,17900000000,3.1565075
France,2013,42669.17951,9.913,33461592994,0.863715498
France,2014,43148.04593,10.273,5063648998,0.507758823
France,2015,36702.43237,10.354,43133325471,0.037514381
France,2016,37024.21571,10.057,35623357280,0.183334861
France,2017,38687.16264,9.409,43733253504,1.032282751
France,2018,41418.17665,9.018,77493098693,1.850815083
France,2019,40408.28486,8.415,53499337504,1.108254923
France,2020,39169.8606,8.009,19368829836,0.476498853
France,2021,43725.09995,7.874,98012545019,1.64233141
France,2022,41082.81193,7.308,1.10E+11,5.222367484
Germany,2013,47220.01021,5.316,67199694459,1.504723303
Germany,2014,48971.08247,4.979,17356720098,0.906794
Germany,2015,41911.01099,4.612,62418993509,0.514426137
Germany,2016,42961.03569,4.104,58132711371,0.491747008
Germany,2017,45526.59996,3.781,1.09E+11,1.509494851
Germany,2018,48874.8595,3.384,1.62E+11,1.732168798
Germany,2019,47623.86561,3.163,75463438451,1.445659769
Germany,2020,47379.76519,3.881,1.77E+11,0.144877926
Germany,2021,52265.65416,3.594,1.28E+11,3.066666667
Germany,2022,49686.11546,3.12,87215414562,6.872574386
Canada,2013,52638.11872,7.143,67027866778,0.938291898
Canada,2014,50960.84312,7.023,64174605786,1.906635907
Canada,2015,43594.1941,6.945,59986208237,1.125241361
Canada,2016,42314.06158,7.038,34201872161,1.428759547
Canada,2017,45129.62812,6.426,25357801000,1.596884129
Canada,2018,46539.17616,5.837,42603762049,2.268225672
Canada,2019,46352.86934,5.69,48942300762,1.949269024
Canada,2020,43537.8393,9.657,29123011879,0.716999632
Canada,2021,52886.66164,7.527,60189690112,3.395193185
Canada,2022,56256.80073,5.279,50229920776,6.802801153
South Africa,2013,7331.654674,24.561,8232518816,5.780169101
South Africa,2014,6856.731371,24.89,5791659020,6.132829531
South Africa,2015,6112.273825,25.149,1521139945,4.518690949
South Africa,2016,5651.205852,26.536,2215307020,6.602908424
South Africa,2017,6618.335083,27.035,2058579911,5.186186555
South Africa,2018,6914.178032,26.906,5569462350,4.509872649
South Africa,2019,6533.71121,28.468,5116098443,4.102850755
South Africa,2020,5580.603831,29.217,3153552569,3.232388316
South Africa,2021,6843.399419,34.007,40658789145,4.618745449
South Africa,2022,6523.410978,33.268,9238990828,7.039872725
Brazil,2013,12458.89121,7.071,75211029129,6.204310666
Brazil,2014,12274.99397,6.755,87713983217,6.329040155
Brazil,2015,8936.196617,8.538,64738153494,9.029901024
Brazil,2016,8836.286527,11.58,74294627801,8.739143523
Brazil,2017,10080.50928,12.792,68885491315,3.44637335
Brazil,2018,9300.661649,12.329,78183840045,3.664850284
Brazil,2019,9029.833267,11.936,69174411753,3.732976212
Brazil,2020,7074.193783,13.697,38270116307,3.211768038
Brazil,2021,7972.53665,13.158,46440503520,8.301659756
Brazil,2022,9281.333344,9.231,74606361830,9.28010609
Mexico,2013,11216.80085,4.921,50929779808,3.806390697
Mexico,2014,11391.37735,4.819,28438309726,4.018616081
Mexico,2015,10021.23861,4.311,36251121834,2.72064065
Mexico,2016,9097.923977,3.853,38899515576,2.821707847
Mexico,2017,9649.278168,3.419,33114839735,6.04145724
Mexico,2018,10084.79376,3.275,37857193190,4.899350154
Mexico,2019,10369.55536,3.477,29947409270,3.635961421
Mexico,2020,8841.270751,4.44,31537615205,3.396834156
Mexico,2021,10314.05067,4.019,35446400664,5.689208477
Mexico,2022,11402.14104,3.256,39127126212,7.896276192
